idHh,idBu,idPers,idPartner,idMother,idFather,statCollectionWave,demMaleFlag,demAge,demNChild0to2,demNChild,eduSpellFlag,eduHighestC3,eduHighestC4,eduExitSampleFlag,healthDsblLongtermFlag,healthSelfRated,yEmpPersGrossMonth,yNonBenPersGrossMonth,yMiscPersGrossMonth,demPartnerNYear,demAgePartnerDiff,yPersAndPartnerGrossDiffMonth,eduReturnFlag,eduHighestMotherC3,eduHighestFatherC3,statInterviewYear,healthWbScore0to36,scghq2_dv,labHrsWorkWeek,labHrsWorkWeekL1,labC4,healthPsyDstrss0to12,demAdultChildFlag,labWageHrly,labWageHrlyL1,wealthOPMembers,wealthPPMembers,careNeedFlag,careHrsFormal,careHrsInformal,careFormalX,careHrsProvidedWeek,yBenReceivedFlag,yBenNonUCReceivedFlag,yBenUCReceivedFlag,yCapitalPersMonth,yPensPersGrossMonth,healthMentalMcs,healthPhysicalPcs,healthMentalPartnerMcs,healthPhysicalPartnerPcs,demLifeSatScore0to10,demEthnC4,demEthnC6,labUnempFlag,yFinDstrssFlag,labEmpNyear,demRgn,yHhQuintilesMonthC5,wealthPrptyFlag,wgtHhCross,wealthTotValue,wealthPensValue,wealthPrptyValue,wealthMortgageDebtValue,yDispMonth
1,1,1,-9,2,-9,1,1,17,0,0,1,2,0,0,1,4,0,0,0,0,0,-909.51062,-9,2,-9,2019,6,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,61.94,34.91,-9,-9,10,1,1,0,0,0,8,2,0,407,-16650.633,-2666.3965,0,0,1670.1042
1,1,2,-9,-9,-9,1,0,43,0,0,0,2,2,-9,0,3,7.0576549,7.0191092,0,0,0,-1057.3308,0,1,1,2019,0,0,20,16,1,0,0,7.2204661,7.2204661,1,0,0,0,0,0,0,1,1,0,4.1181121,0,69.33,34.31,-9,-9,8.333333333333334,1,1,0,0,5,8,2,0,407,-16650.633,-2666.3965,0,0,1670.1042
1,2,3,-9,2,-9,1,1,20,0,0,0,2,2,1,0,4,7.3780332,7.2175612,0,0,0,-968.81366,-9,2,-9,2019,9,0,30,0,1,0,1,6.0018005,6.0018005,0,0,0,0,0,0,0,1,1,0,0,0,51.49,57.57,-9,-9,6.666666666666667,1,1,0,0,1,8,3,0,204,200711.08,0,0,0,813.14392
2,3,4,-9,6,5,1,0,23,0,0,1,1,0,-9,0,4,0,0,0,0,0,-944.16162,-9,3,2,2019,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.07000000000001,43.49,-9,-9,10,1,1,0,0,2,11,2,1,956,0,0,0,0,1527.9847
2,4,5,6,-9,-9,1,1,57,0,0,0,2,2,-9,0,3,9.0030251,9.0503902,0,6,2,-80.450012,-9,3,3,2019,10,0,40,0,1,1,0,24.540768,24.540768,2,0,0,0,0,0,0,0,0,0,9.7480307,0,51,49,37.36,58.26,7,1,1,0,0,1,11,5,1,935.5,777430,303888.69,291870.09,92431.875,13197.422
2,4,6,5,-9,-9,1,0,55,0,0,0,3,3,-9,0,3,7.9273577,7.5607624,0,6,-2,-46.43956,0,3,3,2019,12,0,30,20,1,0,0,12.827043,12.827043,2,0,0,0,0,0,0,0,0,0,0,0,37.36,58.26,51,49,10,1,1,0,0,9,11,5,1,935.5,777430,303888.69,291870.09,92431.875,13197.422
2,5,7,-9,6,5,1,0,21,0,0,0,2,2,1,0,5,0,0,0,0,0,-1067.4192,-9,2,2,2019,9,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.660889,0,54.1,59.11,-9,-9,8.333333333333334,1,1,0,0,1,11,1,1,296,-189704.33,0,0,0,-294.535
3,6,8,9,-9,-9,1,1,69,0,0,0,2,2,-9,0,3,0,0,0,51,3,0,0,3,3,2019,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,55.61,50.3,37.02,37.37,8.333333333333334,1,1,0,0,8,13,1,1,371,135642.42,0,116133.43,0,1346.3097
3,6,9,8,-9,-9,1,0,66,0,0,0,3,3,-9,0,2,0,0,0,51,-3,0,0,3,3,2019,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,37.02,37.37,55.61,50.3,8.333333333333334,1,1,0,0,0,13,1,1,371,135642.42,0,116133.43,0,1346.3097
4,7,10,12,-9,-9,1,0,34,1,1,0,1,1,-9,1,2,0,0,0,7,0,-24.872458,-9,-9,-9,2019,34,12,0,0,3,12,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,19.41,42.8,60.46,38.22,5,1,1,0,0,5,7,4,1,627.66669,-12516.659,-6526.5571,76081.633,52910.488,2721.5156
4,7,11,-9,10,12,1,0,1,1,1,1,3,0,-9,0,4,0,0,0,0,0,-1041.8289,-9,1,1,2019,13,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,43,61,-9,-9,7,1,1,-9,0,0,7,4,1,627.66669,-12516.659,-6526.5571,76081.633,52910.488,2721.5156
4,7,12,10,-9,-9,1,1,34,1,1,0,1,1,-9,0,3,8.3403883,8.3131695,0,7,0,13.759783,0,2,2,2019,12,1,37,40,1,1,0,17.019442,17.019442,0,0,0,0,0,0,0,1,1,0,0,0,60.46,38.22,19.41,42.8,6.666666666666667,1,1,0,0,8,7,4,1,627.66669,-12516.659,-6526.5571,76081.633,52910.488,2721.5156
5,8,13,14,-9,-9,1,0,57,0,0,0,3,3,-9,0,4,7.5189624,7.1789017,0,39,-2,-74.514053,0,2,2,2019,15,3,30,32,1,3,0,6.6350112,6.6350112,1,0,0,0,0,0,0,0,0,0,3.0210164,0,43.42,62.33,49.28,59.91,6.666666666666667,1,1,0,0,12,2,4,1,267,63134.176,-24810.285,0,0,2080.4895
